lga_canonical,year,lga_code,ndvi,nlr,no2,population,z_nlr,z_no2,z_ndvi,urbanicity_index
Agege,2005,1,0.228272,,,60768.0,,,-0.8541898853435215,0.8541898853435215
Agege,2006,1,0.213066,,,60768.0,,,-0.8308850249420868,0.8308850249420868
Agege,2007,1,0.176743,,,62713.0,,,-0.9276482730996566,0.9276482730996566
Agege,2008,1,0.201189,,,64720.0,,,-0.8182986513123969,0.8182986513123969
Agege,2009,1,0.18387,,,66791.0,,,-0.9893087593273884,0.9893087593273884
Agege,2010,1,0.198523,,,68928.0,,,-0.8971530733837251,0.8971530733837251
Agege,2011,1,0.155677,,,71134.0,,,-1.0314954857724394,1.0314954857724394
Agege,2012,1,0.163862,12.21544,,73410.0,0.4618693012821914,,-1.0350669615956458,0.7484681314389185
Agege,2013,1,0.207543,11.929992,,75759.0,0.4747307560735064,,-0.980531169468382,0.7276309627709442
Agege,2014,1,0.190736,13.274172,,78183.0,0.695535599178093,,-0.9320661852971548,0.8138008922376239
Agege,2015,1,0.143209,12.119159,,80685.0,0.5522502297660927,,-1.0300263573014845,0.7911382935337886
Agege,2016,1,0.142176,10.310596,,83267.0,0.4237700711338736,,-1.1365682138990012,0.7801691425164374
Agege,2017,1,0.158045,10.17346,,85931.0,0.3154149945980848,,-1.0267598187209968,0.6710874066595408
Agege,2018,1,0.171624,13.179918,,88681.0,0.5008945501590593,,-0.9588704984788996,0.7298825243189794
Agege,2019,1,0.169235,11.296992,7.1e-05,91519.0,0.4056763342784161,0.8025031255199495,-0.9263047662045624,0.711494742000976
Agege,2020,1,0.166098,13.775872,7e-05,94448.0,0.4951025105070627,0.9770514091057684,-0.9568320903100256,0.8096620033076188
Agege,2021,1,0.157295,12.695503,8.6e-05,97470.0,0.3246790931261814,0.7032810866388233,-0.9562503273277674,0.6614035023642574
Agege,2022,1,0.150156,13.174402,9.3e-05,100589.0,0.3056628464198518,1.217869834551771,-0.9538510635709372,0.8257945815141866
Agege,2023,1,0.166518,12.91286,8.8e-05,103808.0,0.2506421756601706,1.266228899858714,-0.9684134087168732,0.8284281614119192
Agege,2024,1,0.174968,13.724284,7.9e-05,107129.0,0.2412553164460004,1.3046683710884592,-1.0050681932120693,0.8503306269155096
Agege,2025,1,0.194881,14.678763,6.4e-05,110557.0,0.1696831366743756,0.5835325496880666,-0.7069817350578097,0.4867324738067506
Agege,2026,1,0.180614,13.393101,6.7e-05,110557.0,0.175225545992682,0.7763138124736401,-0.9316259519502964,0.6277217701388729
Ajeromi/Ifelodun,2005,2,0.260692,,,103259.0,,,-0.5912529259959547,0.5912529259959547
Ajeromi/Ifelodun,2006,2,0.219495,,,103259.0,,,-0.7760641774554445,0.7760641774554445
Ajeromi/Ifelodun,2007,2,0.216635,,,106563.0,,,-0.5913617277394498,0.5913617277394498
Ajeromi/Ifelodun,2008,2,0.212034,,,109969.0,,,-0.7293083714245172,0.7293083714245172
Ajeromi/Ifelodun,2009,2,0.23555,,,113484.0,,,-0.5673224893564209,0.5673224893564209
Ajeromi/Ifelodun,2010,2,0.217995,,,117116.0,,,-0.740486430826891,0.740486430826891
Ajeromi/Ifelodun,2011,2,0.189538,,,120863.0,,,-0.7430565987520518,0.7430565987520518
Ajeromi/Ifelodun,2012,2,0.209028,13.547128,,124731.0,0.673652685928206,,-0.6499328262130712,0.6617927560706387
Ajeromi/Ifelodun,2013,2,0.223278,11.217214,,128722.0,0.3589387966275427,,-0.8603422940870823,0.6096405453573125
Ajeromi/Ifelodun,2014,2,0.207345,11.868055,,132842.0,0.4617979860242069,,-0.7964472254904429,0.6291226057573249
Ajeromi/Ifelodun,2015,2,0.188826,11.372149,,137093.0,0.420505465670798,,-0.6390258048277124,0.5297656352492552
Ajeromi/Ifelodun,2016,2,0.208333,10.22303,,141480.0,0.4071527182856062,,-0.5915639930927128,0.4993583556891595
Ajeromi/Ifelodun,2017,2,0.209967,10.842203,,146007.0,0.4392696105321458,,-0.5734635748094752,0.5063665926708105
Ajeromi/Ifelodun,2018,2,0.20263,15.239718,,150675.0,0.8253140047806915,,-0.70178247611516,0.7635482404479257
Ajeromi/Ifelodun,2019,2,0.178026,13.073224,5.1e-05,155496.0,0.727286984315742,-0.2710796510953675,-0.8569911974858975,0.4377328435687573
Ajeromi/Ifelodun,2020,2,0.180382,14.992652,5.2e-05,160472.0,0.6898354048856921,-0.0986015183501234,-0.8423299340581331,0.4778546068645672
Ajeromi/Ifelodun,2021,2,0.194386,15.275471,6.3e-05,165607.0,0.7367835998452469,-0.2317168898174151,-0.6585434121186365,0.3878700407154894
Ajeromi/Ifelodun,2022,2,0.157507,17.26135,5.7e-05,170906.0,0.9244358632591037,-0.3620694102721488,-0.8864667481808481,0.4829444003892676
Ajeromi/Ifelodun,2023,2,0.182693,16.931964,5.1e-05,176375.0,0.8553875166676032,-0.4983838796054074,-0.8372729908263569,0.3980922092961842
Ajeromi/Ifelodun,2024,2,0.191424,18.224181,4.5e-05,182019.0,0.9014305306451252,-0.6156227378729084,-0.8651809935015142,0.3836629287579103
Ajeromi/Ifelodun,2025,2,0.172085,21.402421,4.3e-05,187844.0,1.0502803660762483,-0.648043685834486,-0.9313144744761922,0.4445170515726516
Ajeromi/Ifelodun,2026,2,0.167873,19.798567,4.7e-05,187844.0,1.1322684685067934,-0.4366765195164223,-1.0484319815989314,0.5813413101964341
Alimosho,2005,3,0.398805,,,2047026.0,,,0.5288893400858014,-0.5288893400858014
Alimosho,2006,3,0.361067,,,2047026.0,,,0.4311371011849242,-0.4311371011849242
Alimosho,2007,3,0.31002,,,2112539.0,,,0.1958667651529329,-0.1958667651529329
Alimosho,2008,3,0.352393,,,2180540.0,,,0.4224285298924879,-0.4224285298924879
Alimosho,2009,3,0.335609,,,2251117.0,,,0.2496961675132581,-0.2496961675132581
Alimosho,2010,3,0.331895,,,2324353.0,,,0.1759233158464559,-0.1759233158464559
Alimosho,2011,3,0.29315,,,2400332.0,,,0.1395437367949316,-0.1395437367949316
Alimosho,2012,3,0.318655,7.897337,,2479143.0,-0.2248549679085713,,0.2848654702839738,-0.2548602190962725
Alimosho,2013,3,0.347768,6.593788,,2560915.0,-0.3921443679670633,,0.0905514520977297,-0.2413479100323965
Alimosho,2014,3,0.337632,6.870851,,2645784.0,-0.3688829142159954,,0.2673969202339856,-0.3181399172249906
Alimosho,2015,3,0.274881,7.43092,,2733849.0,-0.2745806574741862,,0.0985841332026372,-0.1865823953384117
Alimosho,2016,3,0.288718,5.51142,,2825292.0,-0.4869669840352085,,0.0706511056801076,-0.278809044857658
Alimosho,2017,3,0.30031,5.26495,,2920301.0,-0.5936661036092958,,0.2152607147729487,-0.4044634091911223
Alimosho,2018,3,0.298792,6.819855,,3018991.0,-0.5008183199347477,,0.0955502467946608,-0.2981842833647042
Alimosho,2019,3,0.298708,6.748616,5e-05,3121555.0,-0.4178682038079213,-0.3247587899261332,0.0945387877383017,-0.2790552604907854
Alimosho,2020,3,0.29532,8.445411,5.1e-05,3228125.0,-0.3579819409980597,-0.158360014319895,0.0790260471292119,-0.1984560008157222
Alimosho,2021,3,0.274134,7.923259,6.4e-05,3338865.0,-0.4376029427607058,-0.1910648038845353,-0.0184546823972011,-0.2034043547493466
Alimosho,2022,3,0.263598,7.80972,6.5e-05,3453905.0,-0.5065619397832589,-0.010971800311278,0.0860362315565945,-0.2011899905503772
Alimosho,2023,3,0.289173,8.218292,6.2e-05,3573430.0,-0.4557386808796402,0.0262307305055477,0.026024177456932,-0.1518440426103415
Alimosho,2024,3,0.288844,9.107866,5.6e-05,3697619.0,-0.4360145726165039,0.0056479150263574,-0.0370446908883472,-0.131107322233933
Alimosho,2025,3,0.302357,10.232456,5e-05,3826663.0,-0.4126495199345942,-0.237518273993635,0.3506768674044673,-0.3336148871108988
Alimosho,2026,3,0.292551,8.634386,5e-05,3826663.0,-0.5357757318240671,-0.2547279697179127,0.0945820804474152,-0.295028593996465
Amuwo Odofin,2005,4,0.44739,,,328975.0,,,0.9229298141728322,-0.9229298141728322
Amuwo Odofin,2006,4,0.410017,,,328975.0,,,0.8485395719379407,-0.8485395719379407
Amuwo Odofin,2007,4,0.395008,,,338851.5625,,,0.9123091826068904,-0.9123091826068904
Amuwo Odofin,2008,4,0.404998,,,348728.125,,,0.8540867754897141,-0.8540867754897141
Amuwo Odofin,2009,4,0.42149,,,358604.6875,,,0.9509462226869548,-0.9509462226869548
Amuwo Odofin,2010,4,0.426406,,,368481.25,,,0.9363342163543112,-0.9363342163543112
Amuwo Odofin,2011,4,0.353566,,,378357.8125,,,0.6541866533722249,-0.6541866533722249
Amuwo Odofin,2012,4,0.400244,4.200781,,388234.375,-0.8127322644025943,,0.9805814728462746,-0.8966568686244345
Amuwo Odofin,2013,4,0.431147,3.643479,,398110.9375,-0.8714269216949585,,0.7274264594328043,-0.7994266905638814
Amuwo Odofin,2014,4,0.428452,3.981502,,407987.5,-0.8491769002986386,,1.0089776252520812,-0.9290772627753598
Amuwo Odofin,2015,4,0.375078,4.214966,,417864.0625,-0.8417552616579586,,0.9574104996058328,-0.8995828806318956
Amuwo Odofin,2016,4,0.391729,3.478188,,427740.625,-0.872812330018674,,0.9192601688098836,-0.8960362494142787
Amuwo Odofin,2017,4,0.395098,4.109101,,437617.1875,-0.8077352362548242,,1.0427913254559986,-0.9252632808554114
Amuwo Odofin,2018,4,0.390511,4.650811,,447493.75,-0.8424437551859003,,0.8560435810905974,-0.8492436681382489
Amuwo Odofin,2019,4,0.390676,4.480895,4e-05,457370.3125,-0.8284695356797119,-0.8615501782337915,0.8196702048601526,-0.8365633062578853
Amuwo Odofin,2020,4,0.399838,5.576711,4e-05,467246.875,-0.8170873290747653,-0.8157034699873843,0.916854132198892,-0.8498816437536806
Amuwo Odofin,2021,4,0.371455,5.849273,4.7e-05,477123.4375,-0.7688857251332964,-0.882150264743494,0.7626818384587428,-0.8045726094451778
Amuwo Odofin,2022,4,0.327781,6.168155,4.7e-05,487000.0,-0.755098531731022,-0.8009414227232379,0.6743816967561712,-0.7434738837368103
Amuwo Odofin,2023,4,0.389853,6.100212,4.2e-05,505700.0,-0.774441310092774,-0.9276140151507344,0.8422972700824158,-0.848117531775308
Amuwo Odofin,2024,4,0.379908,6.34835,3.8e-05,524400.0,-0.8408602982822051,-1.010976789717896,0.7370612859250943,-0.8629661246417318
Amuwo Odofin,2025,4,0.320796,7.263924,3.5e-05,543100.0,-0.8014380416873069,-1.1172155850811731,0.5321328852205561,-0.8169288373296788
Amuwo Odofin,2026,4,0.323188,6.283593,3.7e-05,543100.0,-0.887008538765157,-1.0431716855114532,0.3754537804980567,-0.7685446682582223
Apapa,2005,5,0.213372,,,522384.0,,,-0.9750338302626684,0.9750338302626684
Apapa,2006,5,0.20385,,,522384.0,,,-0.9094709528370776,0.9094709528370776
Apapa,2007,5,0.206749,,,539080.0,,,-0.6746999606540945,0.6746999606540945
Apapa,2008,5,0.186841,,,556326.0,,,-0.9360333249713456,0.9360333249713456
Apapa,2009,5,0.195465,,,574128.0,,,-0.8946313057609533,0.8946313057609533
Apapa,2010,5,0.198187,,,592500.0,,,-0.8998564419077133,0.8998564419077133
Apapa,2011,5,0.175025,,,611460.0,,,-0.8666829998425952,0.8666829998425952
Apapa,2012,5,0.184009,17.438429,,631026.0,1.292501017111201,,-0.8632718629472659,1.0778864400292334
Apapa,2013,5,0.241046,17.949747,,651219.0,1.4526498652977486,,-0.7246247257505753,1.088637295524162
Apapa,2014,5,0.208758,19.660261,,672058.0,1.7570896521113035,,-0.7849095296504235,1.2709995908808636
Apapa,2015,5,0.189067,20.420945,,693564.0,2.0163763300052078,,-0.6369601027178371,1.3266682163615222
Apapa,2016,5,0.198447,18.579871,,715758.0,1.9930259521191327,,-0.6730052876932986,1.3330156199062158
Apapa,2017,5,0.180657,17.888832,,738662.0,1.744341257524813,,-0.8293495751377886,1.2868454163313008
Apapa,2018,5,0.179159,20.262284,,762295.0,1.616370477506759,,-0.8963936150205114,1.2563820462636353
Apapa,2019,5,0.169573,17.403142,6.1e-05,786688.0,1.5112767686391395,0.2657117372122908,-0.9236397694775792,0.9002094251096698
Apapa,2020,5,0.205362,19.420652,5.8e-05,811866.0,1.3984904257675037,0.2599494574685074,-0.642087434536131,0.7668424392573807
Apapa,2021,5,0.183825,19.19677,7.5e-05,837845.0,1.3631421399872043,0.2561081413771436,-0.7433101407461643,0.7875201407035041
Apapa,2022,5,0.163297,19.725856,6.3e-05,864656.0,1.297567552881393,-0.0987462028014956,-0.833391631039151,0.6774043270396829
Apapa,2023,5,0.199215,18.188823,6.1e-05,892325.0,1.0445042015190675,-0.0214615067772665,-0.7033192359956233,0.5754539769124748
Apapa,2024,5,0.205452,19.979863,5.3e-05,920879.0,1.1590048129932653,-0.1637895357643513,-0.7459334462518992,0.5803829078269377
Apapa,2025,5,0.164983,22.587845,5.1e-05,950347.0,1.2055353017179018,-0.1788717865877993,-1.001204416367285,0.6759559771657958
Apapa,2026,5,0.175099,20.657721,5.3e-05,950347.0,1.2606349690938996,-0.0727794199194034,-0.982185974987124,0.7233471747205401
Badagry,2005,6,0.48892,,,380420.0,,,1.2597518968904282,-1.2597518968904282
Badagry,2006,6,0.488597,,,380420.0,,,1.5186005760599433,-1.5186005760599433
Badagry,2007,6,0.480949,,,392593.0,,,1.6367853180426053,-1.6367853180426053
Badagry,2008,6,0.484341,,,405116.0,,,1.505147704686952,-1.505147704686952
Badagry,2009,6,0.512439,,,418000.0,,,1.6935783679576497,-1.6935783679576497
Badagry,2010,6,0.509898,,,431264.0,,,1.6080891116067346,-1.6080891116067346
Badagry,2011,6,0.484621,,,444944.0,,,1.7705552880391546,-1.7705552880391546
Badagry,2012,6,0.486287,0.843883,,459058.0,-1.3465924631514277,,1.7142770936832514,-1.5304347784173395
Badagry,2013,6,0.543205,0.935828,,473748.0,-1.311289283869188,,1.5833606823420956,-1.4473249831056418
Badagry,2014,6,0.507587,1.005012,,488948.0,-1.3439562594674777,,1.6551457500220328,-1.4995510047447551
Badagry,2015,6,0.454727,1.156374,,504614.0,-1.3811770652533,,1.6401121898525273,-1.5106446275529135
Badagry,2016,6,0.493284,0.91512,,520762.0,-1.3592043695100593,,1.7558746411103598,-1.5575395053102097
Badagry,2017,6,0.470761,1.224583,,537426.0,-1.3419626884223774,,1.7033543566003584,-1.5226585225113678
Badagry,2018,6,0.483962,1.395409,,554624.0,-1.35517107891353,,1.6308978924469093,-1.4930344856802198
Badagry,2019,6,0.509138,1.164664,2.2e-05,572372.0,-1.4289176796068177,-1.8277746771875767,1.753696365427835,-1.6701295740740765
Badagry,2020,6,0.50202,1.302192,2.2e-05,590688.0,-1.5011793234751043,-1.8913563974432763,1.735956577601503,-1.709497432839961
Badagry,2021,6,0.494263,1.238099,2.4e-05,609590.0,-1.5054396617192467,-1.817148241199732,1.7483870187721058,-1.6903249738970283
Badagry,2022,6,0.436076,1.227349,2.4e-05,629097.0,-1.5031475488062274,-1.810347051360742,1.6670880544176732,-1.6601942181948808
Badagry,2023,6,0.48518,1.212272,2.4e-05,649228.0,-1.5099184070088698,-1.786074286241388,1.615170383915446,-1.6370543590552344
Badagry,2024,6,0.491427,1.31464,2.3e-05,670003.0,-1.579350663165285,-1.8581640436714408,1.685048684109428,-1.7075211303153843
Badagry,2025,6,0.444685,1.44889,2.4e-05,691443.0,-1.5630328207908382,-1.7623269465453673,1.7513098791582633,-1.6922232154981562
Badagry,2026,6,0.488115,1.403045,2.3e-05,691443.0,-1.6162129278588468,-1.8922649179044968,1.8874597495633116,-1.7986458651088852
Epe,2005,7,0.426879,,,323634.0,,,0.7565787971099713,-0.7565787971099713
Epe,2006,7,0.39402,,,323634.0,,,0.7121312506992069,-0.7121312506992069
Epe,2007,7,0.415314,,,333989.0,,,1.0834872280817816,-1.0834872280817816
Epe,2008,7,0.432308,,,344676.0,,,1.078183091187086,-1.078183091187086
Epe,2009,7,0.416375,,,355705.0,,,0.9091803602469104,-0.9091803602469104
Epe,2010,7,0.425341,,,367088.0,,,0.9277655036220276,-0.9277655036220276
Epe,2011,7,0.409884,,,378835.0,,,1.133921488114678,-1.133921488114678
Epe,2012,7,0.390636,0.091385,,390957.0,-1.4662650691817865,,0.8986532796753988,-1.1824591744285926
Epe,2013,7,0.478223,0.16041,,403467.0,-1.437257214430555,,1.087007743033063,-1.2621324787318091
Epe,2014,7,0.409583,0.112102,,416378.0,-1.4923839167401205,,0.8549048844132081,-1.1736444005766642
Epe,2015,7,0.383075,0.207251,,429706.0,-1.5485670409329009,,1.0259558098658836,-1.287261425399392
Epe,2016,7,0.412761,0.175624,,443460.0,-1.49953812875317,,1.0925226923825644,-1.2960304105678673
Epe,2017,7,0.386262,0.425692,,457651.0,-1.489921378050797,,0.9656501211263848,-1.2277857495885909
Epe,2018,7,0.440357,0.563543,,472296.0,-1.486190359444785,,1.2693445409932922,-1.3777674502190385
Epe,2019,7,0.43598,0.401927,2.8e-05,487409.0,-1.5670214534255078,-1.5056998442029816,1.1768743815443068,-1.4165318930575987
Epe,2020,7,0.429091,0.68775,2.8e-05,503006.0,-1.5995143298754346,-1.5328054216246458,1.1513494820194332,-1.4278897445065046
Epe,2021,7,0.442379,0.746987,3.2e-05,519102.0,-1.5838861651269684,-1.4919315537366928,1.331945682903282,-1.4692544672556478
Epe,2022,7,0.386382,0.765038,3.1e-05,535713.0,-1.5731424624160826,-1.50313664264498,1.2115587156889167,-1.4292792735833266
Epe,2023,7,0.447791,0.662031,3.2e-05,552856.0,-1.5927119055551306,-1.4045363879788753,1.3120353555068822,-1.4364278830136294
Epe,2024,7,0.439097,1.537345,3.2e-05,570547.0,-1.546677843970042,-1.349851691299314,1.2402080690843096,-1.3789125347845552
Epe,2025,7,0.374632,1.763738,3.4e-05,588804.0,-1.5217971903523595,-1.1758620724870088,1.0619265928590906,-1.2531952852328196
Epe,2026,7,0.424437,3.527341,3.3e-05,588804.0,-1.298821117157637,-1.2857697519094655,1.303677129991396,-1.2960893330194994
Eti Osa,2005,8,0.351613,,,983515.0,,,0.1461465582989295,-0.1461465582989295
Eti Osa,2006,8,0.334248,,,983515.0,,,0.2024482990781793,-0.2024482990781793
Eti Osa,2007,8,0.322836,,,1014987.0,,,0.3039046766473781,-0.3039046766473781
Eti Osa,2008,8,0.318788,,,1047467.0,,,0.1466776441725986,-0.1466776441725986
Eti Osa,2009,8,0.325416,,,1080986.0,,,0.1664665612862056,-0.1664665612862056
Eti Osa,2010,8,0.327601,,,1115577.0,,,0.1413749097690602,-0.1413749097690602
Eti Osa,2011,8,0.29606,,,1151275.0,,,0.164332052592732,-0.164332052592732
Eti Osa,2012,8,0.2967,9.262336,,1188116.0,-0.0077740088112265,,0.0976534093902831,-0.0527137091007548
Eti Osa,2013,8,0.346855,9.231708,,1226148.0,0.0363900784688485,,0.0835776711493264,-0.0235937963402389
Eti Osa,2014,8,0.299227,9.618876,,1265409.0,0.0879189055381274,,-0.0461948764651988,0.0670568910016631
Eti Osa,2015,8,0.276551,10.652228,,1305942.0,0.293538193060995,,0.1128983345449263,0.0903199292580343
Eti Osa,2016,8,0.291281,10.3884,,1347792.0,0.4385348944786261,,0.0917652102786616,0.1733848420999822
Eti Osa,2017,8,0.274227,10.441912,,1391001.0,0.3651336748036803,,-0.0124525075594773,0.1887930911815788
Eti Osa,2018,8,0.285182,11.742135,,1435633.0,0.2744430613134164,,-0.0172978466185655,0.145870453965991
Eti Osa,2019,8,0.28741,11.28067,4.8e-05,1481733.0,0.4027210170507629,-0.4321170675876649,0.005458512526895,-0.0116181876879323
Eti Osa,2020,8,0.284344,13.377806,4.5e-05,1529349.0,0.4313962165724784,-0.5169109901385255,-0.0089588077448274,-0.0255186552737398
Eti Osa,2021,8,0.25553,14.763909,5.5e-05,1578528.0,0.6550705686502016,-0.5569335772804545,-0.1677776839488085,0.0886382251061852
Eti Osa,2022,8,0.240273,16.140546,5.3e-05,1629309.0,0.754743644917813,-0.5376182152525845,-0.1277767403484291,0.1149673900045525
Eti Osa,2023,8,0.264678,17.13609,4.9e-05,1681735.0,0.8861018867059207,-0.5937683541710357,-0.1725714662047804,0.1549683329132218
Eti Osa,2024,8,0.279544,17.970058,4.8e-05,1735851.0,0.8641484093081427,-0.4461852870821995,-0.1161010203309918,0.1780213808523116
Eti Osa,2025,8,0.221926,20.194928,4.6e-05,1791698.0,0.8921350543542431,-0.4721042236169785,-0.4408350892616105,0.2869553066662917
Eti Osa,2026,8,0.260536,18.244203,4.7e-05,1791698.0,0.9000303978947998,-0.4366765195164223,-0.1989227495660097,0.2207588759814624
Ibeju Lekki,2005,9,0.583855,,,99540.0,,,2.029706253326618,-2.029706253326618
Ibeju Lekki,2006,9,0.538861,,,99540.0,,,1.947207681063613,-1.947207681063613
Ibeju Lekki,2007,9,0.562794,,,102729.0,,,2.326732483013179,-2.326732483013179
Ibeju Lekki,2008,9,0.538373,,,106016.0,,,1.9485154135760177,-1.9485154135760177
Ibeju Lekki,2009,9,0.521191,,,109409.0,,,1.765041677454281,-1.765041677454281
Ibeju Lekki,2010,9,0.555097,,,112906.0,,,1.9717484982607167,-1.9717484982607167
Ibeju Lekki,2011,9,0.52654,,,116519.0,,,2.127634810351184,-2.127634810351184
Ibeju Lekki,2012,9,0.520031,0.333048,,120248.0,-1.4278324873129782,,2.0020149111643124,-1.7149236992386454
