lga_canonical,year,htn,cvd,dm
Agege,2021,0,0,51
Agege,2022,14,5,14
Agege,2023,47,16,26
Agege,2024,38,22,15
Agege,2025,47,25,13
Ajeromi/Ifelodun,2021,0,0,0
Ajeromi/Ifelodun,2022,0,0,0
Ajeromi/Ifelodun,2023,0,0,0
Ajeromi/Ifelodun,2024,0,0,0
Ajeromi/Ifelodun,2025,0,0,0
Alimosho,2021,0,0,247
Alimosho,2022,49,22,93
Alimosho,2023,166,89,122
Alimosho,2024,145,67,54
Alimosho,2025,190,94,72
Amuwo Odofin,2021,0,0,16
Amuwo Odofin,2022,2,1,9
Amuwo Odofin,2023,10,3,10
Amuwo Odofin,2024,9,2,5
Amuwo Odofin,2025,11,5,7
Apapa,2021,0,0,5
Apapa,2022,2,0,1
Apapa,2023,4,2,5
Apapa,2024,6,1,2
Apapa,2025,6,2,5
Badagry,2021,0,0,15
Badagry,2022,2,2,4
Badagry,2023,5,3,9
Badagry,2024,1,4,2
Badagry,2025,6,8,5
Epe,2021,0,0,1
Epe,2022,1,0,1
Epe,2023,3,2,1
Epe,2024,3,1,0
Epe,2025,2,4,1
Eti Osa,2021,0,0,22
Eti Osa,2022,6,1,18
Eti Osa,2023,15,10,19
Eti Osa,2024,24,13,5
Eti Osa,2025,41,20,6
Ibeju Lekki,2021,0,0,1
Ibeju Lekki,2022,1,0,0
Ibeju Lekki,2023,1,1,0
Ibeju Lekki,2024,0,0,0
Ibeju Lekki,2025,0,0,0
Ifako/Ijaye,2021,0,0,101
Ifako/Ijaye,2022,24,14,30
Ifako/Ijaye,2023,70,41,59
Ifako/Ijaye,2024,56,33,29
Ifako/Ijaye,2025,124,56,32
Ikeja,2021,0,0,107
Ikeja,2022,31,8,50
Ikeja,2023,81,38,81
Ikeja,2024,87,27,37
Ikeja,2025,81,33,40
Ikorodu,2021,0,0,98
Ikorodu,2022,27,9,51
Ikorodu,2023,72,33,50
Ikorodu,2024,61,33,37
Ikorodu,2025,119,46,43
Kosofe,2021,0,0,81
Kosofe,2022,12,9,36
Kosofe,2023,62,34,51
Kosofe,2024,48,24,20
Kosofe,2025,69,31,35
Lagos Island,2021,0,0,2
Lagos Island,2022,0,0,1
Lagos Island,2023,9,1,3
Lagos Island,2024,2,1,2
Lagos Island,2025,2,4,2
Lagos Mainland,2021,0,0,29
Lagos Mainland,2022,8,4,5
Lagos Mainland,2023,11,9,7
Lagos Mainland,2024,8,3,3
Lagos Mainland,2025,11,5,5
Mushin,2021,0,0,19
Mushin,2022,5,3,9
Mushin,2023,14,5,15
Mushin,2024,12,6,10
Mushin,2025,23,14,5
Ojo,2021,0,0,56
Ojo,2022,13,5,30
Ojo,2023,38,19,23
Ojo,2024,27,14,19
Ojo,2025,50,30,23
Oshodi/Isolo,2021,0,0,52
Oshodi/Isolo,2022,13,4,24
Oshodi/Isolo,2023,54,19,21
Oshodi/Isolo,2024,37,23,15
Oshodi/Isolo,2025,46,30,10
Shomolu,2021,0,0,30
Shomolu,2022,8,0,7
Shomolu,2023,20,7,16
Shomolu,2024,16,10,7
Shomolu,2025,31,7,11
Surulere,2021,0,0,45
Surulere,2022,11,2,14
Surulere,2023,13,10,13
Surulere,2024,24,16,5
Surulere,2025,18,5,10
