lga_canonical,lga_code,year,ndvi,nlr,no2,population,urbanicity_index,htn,cvd,dm,pct_unskilled,pct_semiskilled,z_ndvi,z_nlr,z_no2,z_pct_unskilled,log_pop,lga_idx,year_idx
Agege,1,2021,0.157295,12.695503,8.6e-05,97470.0,0.6614035023642574,0,0,51,21.518987341772153,59.17721518987342,-0.9562503273277674,0.32467909312618143,0.7032810866388233,1.268212010401158,11.487299917331256,0,0
Agege,1,2022,0.150156,13.174402,9.3e-05,100589.0,0.8257945815141866,14,5,14,21.518987341772153,59.17721518987342,-0.9538510635709372,0.3056628464198518,1.217869834551771,1.268212010401158,11.51879818673291,0,1
Agege,1,2023,0.166518,12.91286,8.8e-05,103808.0,0.8284281614119192,47,16,26,21.518987341772153,59.17721518987342,-0.9684134087168733,0.2506421756601706,1.266228899858714,1.268212010401158,11.550298318035031,0,2
Agege,1,2024,0.174968,13.724284,7.9e-05,107129.0,0.8503306269155096,38,22,15,21.518987341772153,59.17721518987342,-1.0050681932120693,0.24125531644600043,1.3046683710884592,1.268212010401158,11.58178899475957,0,3
Agege,1,2025,0.194881,14.678763,6.4e-05,110557.0,0.4867324738067506,47,25,13,21.518987341772153,59.17721518987342,-0.7069817350578097,0.1696831366743756,0.5835325496880666,1.268212010401158,11.613286504045792,0,4
Ajeromi/Ifelodun,2,2021,0.194386,15.275471,6.3e-05,165607.0,0.3878700407154894,0,0,0,15.588580183775246,64.16579965365548,-0.6585434121186365,0.7367835998452469,-0.23171688981741514,0.0,12.017372790571324,1,0
Ajeromi/Ifelodun,2,2022,0.157507,17.26135,5.7e-05,170906.0,0.4829444003892676,0,0,0,15.588580183775246,64.16579965365548,-0.8864667481808481,0.9244358632591035,-0.3620694102721488,0.0,12.048868976737841,1,1
Ajeromi/Ifelodun,2,2023,0.182693,16.931964,5.1e-05,176375.0,0.3980922092961842,0,0,0,15.588580183775246,64.16579965365548,-0.8372729908263569,0.8553875166676032,-0.4983838796054074,0.0,12.080367689155116,1,2
Ajeromi/Ifelodun,2,2024,0.191424,18.224181,4.5e-05,182019.0,0.3836629287579103,0,0,0,15.588580183775246,64.16579965365548,-0.8651809935015142,0.9014305306451253,-0.6156227378729084,0.0,12.111866356214486,1,3
Ajeromi/Ifelodun,2,2025,0.172085,21.402421,4.3e-05,187844.0,0.4445170515726516,0,0,0,15.588580183775246,64.16579965365548,-0.9313144744761922,1.0502803660762485,-0.648043685834486,0.0,12.143367110114049,1,4
Alimosho,3,2021,0.274134,7.923259,6.4e-05,3338865.0,-0.2034043547493466,0,0,247,18.493661446681582,59.358687546607015,-0.018454682397201116,-0.4376029427607058,-0.19106480388453534,0.6212489042748287,15.021141486841579,2,0
Alimosho,3,2022,0.263598,7.80972,6.5e-05,3453905.0,-0.2011899905503772,49,22,93,18.493661446681582,59.358687546607015,0.08603623155659458,-0.5065619397832589,-0.010971800311278083,0.6212489042748287,15.05501603296772,2,1
Alimosho,3,2023,0.289173,8.218292,6.2e-05,3573430.0,-0.1518440426103415,166,89,122,18.493661446681582,59.358687546607015,0.026024177456932068,-0.45573868087964026,0.026230730505547743,0.6212489042748287,15.089036476811721,2,2
Alimosho,3,2024,0.288844,9.107866,5.6e-05,3697619.0,-0.131107322233933,145,67,54,18.493661446681582,59.358687546607015,-0.037044690888347234,-0.4360145726165039,0.005647915026357485,0.6212489042748287,15.123199656957247,2,3
Alimosho,3,2025,0.302357,10.232456,5e-05,3826663.0,-0.3336148871108988,190,94,72,18.493661446681582,59.358687546607015,0.3506768674044673,-0.4126495199345942,-0.237518273993635,0.6212489042748287,15.157503701998973,2,4
Amuwo Odofin,4,2021,0.371455,5.849273,4.7e-05,477123.4375,-0.8045726094451778,0,0,16,13.793103448275861,67.81609195402298,0.7626818384587428,-0.7688857251332964,-0.882150264743494,-0.38396101645157404,13.07553051521901,3,0
Amuwo Odofin,4,2022,0.327781,6.168155,4.7e-05,487000.0,-0.7434738837368103,2,1,9,13.793103448275861,67.81609195402298,0.6743816967561712,-0.755098531731022,-0.8009414227232379,-0.38396101645157404,13.096019402064726,3,1
